cve_id,vendor
CVE-2003-1448,microsoft
CVE-2003-1447,ibm
CVE-2003-1446,rogue
CVE-2003-1445,rarlab
CVE-2003-1444,kaspersky_lab
CVE-2003-1443,kaspersky_lab
CVE-2003-1442,ericsson
CVE-2003-1441,posadis
CVE-2003-1440,burton_computer_corporation
CVE-2003-1439,silc
CVE-2003-1438,bea
CVE-2003-1436,crossnuke
CVE-2003-1435,francisco_burzi
CVE-2003-1434,pete_werner
CVE-2003-1433,epic_games
CVE-2003-1432,epic_games
CVE-2003-1431,epic_games
CVE-2003-1430,epic_games
CVE-2003-1429,proxomitron
CVE-2003-1427,netgear
CVE-2003-1426,cpanel
CVE-2003-1425,cpanel
CVE-2003-1424,petitforum
CVE-2003-1423,petitforum
CVE-2003-1421,suckbot
CVE-2003-1420,opera_software
CVE-2003-1419,netscape
CVE-2003-1418,apache
CVE-2003-1417,ncipher
CVE-2003-1416,bisonftp
CVE-2003-1415,visual_mining
CVE-2003-1414,apple
CVE-2003-1413,apple
CVE-2003-1412,gonicus
CVE-2003-1411,isoca
CVE-2003-1410,isoca
CVE-2003-1409,ej3
CVE-2003-1408,lotus
CVE-2003-1407,microsoft
CVE-2003-1406,adalis_infomatique
CVE-2003-1405,dotbr
CVE-2003-1404,dotbr
CVE-2003-1403,dotbr
CVE-2003-1402,kietu
CVE-2003-1401,php_board
CVE-2003-1400,francisco_burzi
CVE-2003-1398,cisco
CVE-2003-1397,opera_software
CVE-2003-1396,opera_software
CVE-2003-1395,kazaa
CVE-2003-1394,coffeecup_software
CVE-2003-1393,gupta_technologies
CVE-2003-1392,research_triangle_software
CVE-2003-1392,microsoft
CVE-2003-1391,research_triangle_software
CVE-2003-1390,research_triangle_software
CVE-2003-1389,research_triangle_software
CVE-2003-1388,opera_software
CVE-2003-1387,opera_software
CVE-2003-1386,axis
CVE-2003-1385,invision_power_services
CVE-2003-1384,py_software
CVE-2003-1383,logicworks
CVE-2003-1382,instantservers_inc.
CVE-2003-1381,amxmod.net
CVE-2003-1380,bisonftp
CVE-2003-1379,point_clark_networks
CVE-2003-1378,microsoft
CVE-2003-1377,sircd
CVE-2003-1376,winzip
CVE-2003-1375,hp
CVE-2003-1374,hp
CVE-2003-1373,phpbb_group
CVE-2003-1372,myphpnuke
CVE-2003-1371,nuked-klan
CVE-2003-1370,nuked-klan
CVE-2003-1369,save_it_software_pty
CVE-2003-1368,electrasoft
CVE-2003-1367,great_circle_associates
CVE-2003-1366,openbsd
CVE-2003-1365,perl
CVE-2003-1364,aprelium_technologies
CVE-2003-1362,hp
CVE-2003-1360,hp
CVE-2003-1359,hp
CVE-2003-1359,avaya
CVE-2003-1358,hp
CVE-2003-1357,replicom
CVE-2003-1356,hp
CVE-2003-1355,electronic_arts
CVE-2003-1354,gamespy3d
CVE-2003-1353,lanifex
CVE-2003-1352,gabber
CVE-2003-1351,greg_billock
CVE-2003-1350,list_site_pro
CVE-2003-1349,thomas_krebs
CVE-2003-1348,ftls
CVE-2003-1347,geeklog
CVE-2003-1346,d-link
CVE-2003-1345,follett_software
CVE-2003-1344,trend_micro
CVE-2003-1343,trend_micro
CVE-2003-1342,trend_micro
CVE-2003-1341,trend_micro
CVE-2003-1340,phpnuke
CVE-2003-1339,ezmeeting
CVE-2003-1337,aprelium_technologies
CVE-2003-1336,mirc
CVE-2003-1335,kai_blankenhorn_bitfolge
CVE-2003-1334,kai_blankenhorn_bitfolge
CVE-2003-1320,sonicwall
CVE-2003-1253,sangwan_kim
CVE-2003-1244,phpbb_group
CVE-2003-1240,cutephp
CVE-2003-1227,gallery_project
CVE-2003-1209,monkey-project
CVE-2003-1151,
CVE-2003-1081,sun
CVE-2003-1048,microsoft
CVE-2003-1026,microsoft
CVE-2003-1025,microsoft
CVE-2003-1003,cisco
CVE-2003-0904,microsoft
CVE-2003-0903,microsoft
CVE-2003-0899,acme_labs
CVE-2003-0858,gnu
CVE-2003-0858,quagga
CVE-2003-0857,redhat
CVE-2003-0831,proftpd_project
CVE-2003-0825,microsoft
CVE-2003-0819,microsoft
CVE-2003-0801,nokia
CVE-2003-0795,gnu
CVE-2003-0795,quagga
CVE-2003-0795,sgi
CVE-2003-0792,fetchmail
CVE-2003-0738,phpwebsite
CVE-2003-0662,microsoft
CVE-2003-0624,bea
CVE-2003-0567,cisco
CVE-2003-0545,openssl
CVE-2003-0542,apache
CVE-2003-0512,cisco
CVE-2003-0498,intersystems
CVE-2003-0497,intersystems
CVE-2003-0456,deerfield
CVE-2003-0373,nessus
CVE-2003-0372,nessus
CVE-2003-0368,nokia
CVE-2003-0367,gnu
CVE-2003-0367,debian
CVE-2003-0310,ez
CVE-2003-0286,snitz_communications
CVE-2003-0230,microsoft
CVE-2003-0222,oracle
CVE-2003-0218,monkey-project
CVE-2003-0096,oracle
CVE-2003-0095,oracle
CVE-2003-0015,freebsd
CVE-2003-0015,cvs
CVE-2003-0001,freebsd
CVE-2003-0001,linux
CVE-2003-0001,microsoft
CVE-2003-0001,netbsd
CVE-2002-2446,gehealthcare
CVE-2002-2444,snoopy_project
CVE-2002-2443,mit
CVE-2002-2439,gnu
CVE-2002-2437,mozilla
CVE-2002-2436,mozilla
CVE-2002-2435,microsoft
CVE-2002-2430,goahead
CVE-2002-2429,goahead
CVE-2002-2428,goahead
CVE-2002-2427,goahead
CVE-2002-2426,citrix
CVE-2002-2425,sun
CVE-2002-2424,ekilat_llc
CVE-2002-2423,sendmail
CVE-2002-2422,compaq
CVE-2002-2421,andrey_cherezov
CVE-2002-2420,independent_solution
CVE-2002-2419,dctc_project
CVE-2002-2418,acfp_project
CVE-2002-2417,acftp
CVE-2002-2416,zeroo
CVE-2002-2415,alliedtelesyn
CVE-2002-2412,nullsoft
CVE-2002-2411,bannerwheel
CVE-2002-2410,open_webmail
CVE-2002-2409,qnx
CVE-2002-2407,qnx
CVE-2002-2406,perception
CVE-2002-2405,checkpoint
CVE-2002-2404,curtis_specialty_consulting
CVE-2002-2403,key_focus
CVE-2002-2401,microsoft
CVE-2002-2400,hughes_technologies
CVE-2002-2399,cascadesoft
CVE-2002-2397,symantec
CVE-2002-2396,remi_lefebvre
CVE-2002-2395,trend_micro
CVE-2002-2394,trend_micro
CVE-2002-2393,serv-u
CVE-2002-2391,webchat.org
CVE-2002-2391,xoops
CVE-2002-2390,cerulean_studios
CVE-2002-2389,fastlink_software
CVE-2002-2388,inweb
CVE-2002-2387,mollensoft_software
CVE-2002-2386,xoops
CVE-2002-2385,hotfoon_corporation
CVE-2002-2384,hotfoon_corporation
CVE-2002-2383,f2html.pl
CVE-2002-2382,cvsup
CVE-2002-2381,ka-shu_wong
CVE-2002-2380,microsoft
CVE-2002-2379,cisco
CVE-2002-2378,nakata
CVE-2002-2377,sephiroth32
CVE-2002-2376,leung
CVE-2002-2375,stalker
CVE-2002-2373,apple
CVE-2002-2372,ibm
CVE-2002-2371,linksys
CVE-2002-2369,perception
CVE-2002-2368,nec
CVE-2002-2367,socks5
CVE-2002-2366,cerulean_studios
CVE-2002-2365,springer_verlag_berlin_heidelberg
CVE-2002-2364,sourceforge
CVE-2002-2363,hp
CVE-2002-2362,sourceforge
CVE-2002-2361,yahoo
CVE-2002-2360,webmin
